,Mars Year,Mission subphase,Sol,Ls,Centroid longitude,Centroid latitude,Area (square km),Member ID,Sequence ID,Maximum latitude,Minimum latitude,Confidence interval,Missing data
3919,32,D17,12,34.3,138.65,-50.35,73453.836,D17_035,D16_03,-48.15,-52.65,75,1
3920,32,D17,12,34.3,37.45,-54.95,266881.53,D17_036,,-49.35,-59.95,75,1
3921,32,D17,12,34.3,9.25,-50.65,309112.28,D17_037,,-45.25,-56.35,50,1
3922,32,D17,13,34.7,-28.75,-21.55,489260.66,D17_025,D17_01,-13.95,-28.65,50,0
3923,32,D17,13,34.7,172.15,-51.15,184546.94,D17_035,D16_03,-45.05,-55.95,75,1
3924,32,D17,13,34.7,-55.25,-25.45,374013.69,D17_033,D17_01,-17.95,-32.85,50,0
3925,32,D17,13,34.7,-82.35,-53.65,243716.64,D17_040,,-48.75,-58.05,50,1
3926,32,D17,13,34.7,4.05,62.15,24970.08,D17_096,,64.15,60.75,75,1
3927,32,D17,13,34.7,-79.05,57.85,103426.38,D17_095,,63.35,48.85,50,1
3928,32,D17,14,35.2,47.25,-52.85,487807.62,D17_036,,-45.25,-60.35,75,0
3929,32,D17,14,35.2,-56.15,-24.75,743964.25,D17_033,D17_01,-17.05,-34.05,50,1
3930,32,D17,14,35.2,-47.05,55.85,191965.89,D17_095,,62.75,51.15,50,1
3931,32,D17,15,35.6,35.35,-50.35,546012.69,D17_039,,-40.05,-59.25,75,0
3932,32,D17,15,35.6,-49.05,-32.25,733381.56,D17_033,D17_01,-20.25,-43.65,50,1
3933,32,D17,15,35.6,147.75,-51.95,62418.280999999995,D17_041,,-48.15,-54.95,75,1
3934,32,D17,16,36.0,-63.85,-40.05,44560.051,D17_042,,-37.95,-42.65,75,1
3935,32,D17,16,36.0,-106.15,-38.05,114986.14,D17_043,,-34.75,-40.95,50,1
3936,32,D17,16,36.0,-67.35,63.35,45173.523,D17_097,,64.95,60.75,50,1
3937,32,D17,17,36.4,-116.95,-43.95,119131.09,D17_038,,-40.85,-46.75,50,1
3938,32,D17,17,36.4,-48.15,59.85,482127.75,D17_097,,70.05,46.35,50,0
3939,32,D17,17,36.4,-76.75,56.35,232113.61,D17_098,,62.55,49.25,75,1
3940,32,D17,17,36.4,-94.45,66.15,138745.05,D17_099,,69.35,63.05,75,1
3941,32,D17,17,36.4,162.15,70.45,717195.0,D17_100,D17_05,81.65,54.05,75,1
3942,32,D17,18,36.8,-111.75,-43.85,38183.832,D17_038,D17_02,-41.65,-45.75,50,1
3943,32,D17,18,36.8,176.35,-46.05,239471.02,D17_047,,-39.95,-50.95,50,1
3944,32,D17,18,36.8,154.25,-39.05,131878.3,D17_049,,-34.35,-44.25,50,1
3945,32,D17,18,36.8,44.55,-48.65,245253.22,D17_053,,-44.35,-54.45,75,1
3946,32,D17,18,36.8,-32.95,57.95,1351960.9,D17_097,,73.15,39.45,75,1
3947,32,D17,18,36.8,-148.05,66.35,244128.28,D17_100,D17_05,74.35,58.45,75,1
3948,32,D17,19,37.3,-76.55,-36.65,782794.56,D17_038,D17_02,-26.45,-44.45,75,1
3949,32,D17,19,37.3,-80.75,-53.85,221140.53,D17_044,D17_02,-49.55,-57.15,75,1
3950,32,D17,19,37.3,-150.45,-53.15,658415.62,D17_047,,-46.05,-59.45,50,0
3951,32,D17,19,37.3,-155.95,-41.25,74512.57,D17_050,,-38.35,-44.25,50,1
3952,32,D17,19,37.3,-109.15,-27.05,8230.5869,D17_052,,-26.25,-27.85,75,1
3953,32,D17,19,37.3,45.65,-49.55,292823.53,D17_053,,-44.15,-54.85,50,1
3954,32,D17,19,37.3,-137.05,62.65,191148.33,D17_100,D17_05,66.85,57.85,50,1
3955,32,D17,19,37.3,-1.95,54.55,1998838.1,D17_097,,75.25,33.05,75,1
